run_date,source,dimension,value,count
2026-09-15,jobindex,query,"""deltid studerende""",0
2026-09-15,jobindex,query,"""part-time student""",11
2026-09-15,jobindex,query,"""student assistant""",37
2026-09-15,jobindex,query,"""student position""",7
2026-09-15,jobindex,query,"""student worker""",9
2026-09-15,jobindex,query,studentermedarbejder,11
2026-09-15,jobindex,query,studentermedhjælper,204
2026-09-15,jobindex,query,studiejob,141
2026-09-15,jobindex,query,werkstudent,0
2026-09-15,studerendeonline,sector,Advokat & Revision,16
2026-09-15,studerendeonline,sector,Elektronik & Maskin,17
2026-09-15,studerendeonline,sector,"Finans, Forsikring & Pension",28
2026-09-15,studerendeonline,sector,Forskning & Uddannelse,48
2026-09-15,studerendeonline,sector,IT & Tele,31
2026-09-15,studerendeonline,sector,Kommuner,20
2026-09-15,studerendeonline,sector,"Kultur, Medier & Underholdning",15
2026-09-15,studerendeonline,sector,"Medicinal, Biotek & Kemi",21
2026-09-15,studerendeonline,sector,Rådgivning & Konsulentservice,53
2026-09-15,studerendeonline,sector,"Stat, Politik & Samfund",81
2026-09-15,studerendeonline,total,all,414
2026-09-16,jobindex,query,"""deltid studerende""",0
2026-09-16,jobindex,query,"""part-time student""",9
2026-09-16,jobindex,query,"""student assistant""",40
2026-09-16,jobindex,query,"""student position""",6
2026-09-16,jobindex,query,"""student worker""",11
2026-09-16,jobindex,query,studentermedarbejder,14
2026-09-16,jobindex,query,studentermedhjælper,212
2026-09-16,jobindex,query,studiejob,139
2026-09-16,jobindex,query,werkstudent,0
2026-09-16,studerendeonline,sector,Advokat & Revision,16
2026-09-16,studerendeonline,sector,Elektronik & Maskin,17
2026-09-16,studerendeonline,sector,"Finans, Forsikring & Pension",29
2026-09-16,studerendeonline,sector,Forskning & Uddannelse,47
2026-09-16,studerendeonline,sector,IT & Tele,30
2026-09-16,studerendeonline,sector,Kommuner,20
2026-09-16,studerendeonline,sector,"Kultur, Medier & Underholdning",17
2026-09-16,studerendeonline,sector,"Medicinal, Biotek & Kemi",24
2026-09-16,studerendeonline,sector,Rådgivning & Konsulentservice,51
2026-09-16,studerendeonline,sector,"Stat, Politik & Samfund",81
2026-09-16,studerendeonline,total,all,429
2026-09-17,jobindex,query,"""deltid studerende""",0
2026-09-17,jobindex,query,"""part-time student""",8
2026-09-17,jobindex,query,"""student assistant""",41
2026-09-17,jobindex,query,"""student position""",6
2026-09-17,jobindex,query,"""student worker""",10
2026-09-17,jobindex,query,studentermedarbejder,15
2026-09-17,jobindex,query,studentermedhjælper,202
2026-09-17,jobindex,query,studiejob,133
2026-09-17,jobindex,query,werkstudent,0
2026-09-17,studerendeonline,sector,Advokat & Revision,17
2026-09-17,studerendeonline,sector,"Finans, Forsikring & Pension",28
2026-09-17,studerendeonline,sector,Forskning & Uddannelse,46
2026-09-17,studerendeonline,sector,IT & Tele,31
2026-09-17,studerendeonline,sector,"Klima, Energi & Forsyning",18
2026-09-17,studerendeonline,sector,Kommuner,19
2026-09-17,studerendeonline,sector,"Kultur, Medier & Underholdning",15
2026-09-17,studerendeonline,sector,"Medicinal, Biotek & Kemi",23
2026-09-17,studerendeonline,sector,Rådgivning & Konsulentservice,52
2026-09-17,studerendeonline,sector,"Stat, Politik & Samfund",81
2026-09-17,studerendeonline,total,all,422
2026-09-18,jobindex,query,"""deltid studerende""",0
2026-09-18,jobindex,query,"""part-time student""",8
2026-09-18,jobindex,query,"""student assistant""",41
2026-09-18,jobindex,query,"""student position""",6
2026-09-18,jobindex,query,"""student worker""",9
2026-09-18,jobindex,query,studentermedarbejder,14
2026-09-18,jobindex,query,studentermedhjælper,205
2026-09-18,jobindex,query,studiejob,135
2026-09-18,jobindex,query,werkstudent,0
2026-09-18,studerendeonline,sector,Advokat & Revision,17
2026-09-18,studerendeonline,sector,"Finans, Forsikring & Pension",28
2026-09-18,studerendeonline,sector,Forskning & Uddannelse,47
2026-09-18,studerendeonline,sector,Handel & Service,16
2026-09-18,studerendeonline,sector,IT & Tele,32
2026-09-18,studerendeonline,sector,Kommuner,19
2026-09-18,studerendeonline,sector,"Kultur, Medier & Underholdning",16
2026-09-18,studerendeonline,sector,"Medicinal, Biotek & Kemi",21
2026-09-18,studerendeonline,sector,Rådgivning & Konsulentservice,49
2026-09-18,studerendeonline,sector,"Stat, Politik & Samfund",78
2026-09-18,studerendeonline,total,all,417
